Name of Institution,Affiliation Number,State,District,locality,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee,extra
ALPINE PUBLIC SCHOOL,830299,KARNATAKA,BANGALORE,BANGALORE CITYKUMARASWAMY,"OFF KANAKPURA ROAD, BEHIND METRO. OPP OF DELHI PUBLIC SCHOOL, BANGALORE",560062,"08041144555
                        ,","08041144555
                        ,",,,08022128357,ghoh.amit@gmail.com,http://www.alpinepublicschool.com,2005,6/19/2006 12:00:00 AM,Shailaja bhel,2,M.A. Gold Medalist,,6,23,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2018",ALPINE EDUCATIONAL FOUNDATION," ALPINE PUBLIC SCHOOL Affiliation Code:830299 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:OFF KANAKPURA ROAD, BEHIND METRO. OPP OF DELHI PUBLIC SCHOOL Phone Num: STD Code: PhNo: 08041144555 , Fax: City: 560062 Email:ghoh.amit@gmail.com, Website:http://www.alpinepublicschool.com Courses of study offered: This school follows the CBSE curriculum"
"CRESCENT PUBLIC SCHOOL,FATEHABAD",530870,HARYANA,FATEHABAD,BHATTU KALANFATEHABAD,"Bhodia Khera Road,
NEAR N. H. 10, Sirsa Road,
Fatehabad-125050 (Haryana)",125050,"01667-290936
                        ,","01667-290936
                        ,",,,,crescent@moderneducationsociety.com,http://www.moderneducationsociety.com,2002,3/1/2002 12:00:00 AM,INDU AHUJA,2,"M.A.,B.Ed",,00,03,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2018","MODERN EDUCATION SOCIETY,FATEHABAD",
I.P.S. SR. SECONDARY SCHOOL,530752,HARYANA,BHIWANI,BhiwaniBhiwani,"Bapora, Bhiwani, Haryana.",127021,"01664-210799
                        ,","01664-210799
                        ,",25259433,25259433,,saraswati_education@yahoo.com,,2005,4/1/2006 12:00:00 AM,Shiv Kumar,1,"M.A., B.Ed., D.Ed.",,10,05,Secondary School,Provisional,1/4/2009,31/3/2012,Sarswati Education  Society," I.P.S. SR. SECONDARY SCHOOL Affiliation Code:530752 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:IPS Sr. Sec. School, Bapora, Bhiwani, Haryana. Phone Num: STD Code: PhNo: 01664-210799 , Fax: City: 127021 Email:saraswati_education@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
NEW HORIZON SCHOOL,330284,BIHAR,BHAGALPUR,BhagalpurBHIKANPUR,"New Horizon School,
Bhikhanpur Gumti No-3,
Bhagalpur",812001,"06412424837
                        ,","06412424837
                        ,",,,06412424837,ambrishrbhardwaj@gmail.com,,2004,4/13/2004 12:00:00 AM,Dr.Samina Rahbari,0,"M.A,B.Ed,Ph.D.",,16,16,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",New Horizon Educational&Scientific Trust," NEW HORIZON SCHOOL Affiliation Code:330284 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:New Horizon School,Bhikhanpur Gumti No-3,Bhagalpur Phone Num: STD Code: PhNo: 06412424837 , Fax: City: 812001 Email:ambrishrbhardwaj@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Himalayan Progressive School,3530221,UTTARANCHAL,UDHAM SINGH NAGAR,KichhaKichha,"TEHSIL, KICHHA, UDHAM SINGH NAGAR,",263148,"09219401922
                        ,","09219401922
                        ,",251990,251990,05944243740,himalayanprogressiveschool@gmail.com,,2003,7/1/2003 12:00:00 AM,Amandeep Dhillon,1,BA BEd,,,,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2019","DPS Society, Kichha",
"Kiran Memorial Public High School, Jawan",530708,HARYANA,FARIDABAD,AsawatiChansha,"Village-Jawan, Tehsil- Ballabgarh, Dist- Faridabad",121004,"09813492284
                        ,","09813492284
                        ,",,,,kmpschool@gmail.com,,2000,4/1/2000 12:00:00 AM,Ran Singh,0,M.A. Bsc B.ed,,1,34,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2019","Kiran Shiksha Samiti, Vill jawan",
"ST. JOSEPH SENIOR SECONDARY SCHOOL, NARSINGHGARH",1030401,MADHYA PRADESH,RAJGARH,BIAORANARSINGHGARH,"ST. JOSEPH SENIOR SECODARY SCHOOL, NARSINGHGARH",465699,"07375-246433
                        ,","07375-246433
                        ,",,,,augustine_thevarkunnel@yahoo.com,,1975,7/1/1975 12:00:00 AM,MERCY GEORGE,0,"M.A., B.ED.",,23,28,Senior Secondary,Provisional,1/4/2012,"31/
                    3/
                    2017",THE DIOCESE OF UJJAIN," ST. JOSEPH SENIOR SECONDARY SCHOOL, NARSINGHGARH Affiliation Code:1030401 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:ST. JOSEPH SENIOR SECODARY SCHOOL, NARSINGHGARH Phone Num: STD Code: PhNo: 07375-246433 , Fax: City: 465699 Email:augustine_thevarkunnel@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Fr. Agnel co-ed senior secondary school,1030341,MADHYA PRADESH,BHOPAL,BairagarhGandhinagar,"by pass road, near sant asharam ashram, gondipura, po gandhinagar, 462036 bhopal",462036,"0755- 3299834
                        ,","0755- 3299834
                        ,",3205496,3205496,0755- 2642359,juliusferrao@rediffmail.com,,2000,7/3/2000 12:00:00 AM,roy d''''sa,0,"priest, ba, bed",,2,4,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2018",society of divine providence,
SAKET MGM Senior Secondary School,1030477,MADHYA PRADESH,VIDISHA,VidishaVidisha,"Saket Nagar, Ladhau,Puranpura,Vidisha",464001,"07592232026
                        ,","07592232026
                        ,",29836523,29836523,27592234127,sanjaypandey64@yahoo.in,http://www.saketmgm.org,1984,7/1/2003 12:00:00 AM,Ragini Pandey,1,"MSc  ,BEd.",,15,10,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Saket Sikshan Samiti,
CBSE-2015,CBSE-2014,,,,,,,,,,,,,,,,,,,,,,,,,,
Lal dayal public school,2131103,uttar pradesh,MUZAFFARNAGAR,khataulipolice station khatauli,"Dayal puram, G.T. Road, Khatauli, Muzaffarnagar, U.P.",,"271100, 09897409147
                        ,","271100, 09897409147
                        ,",08267888991,08267888991,,principal@ldpskhatauli.com,,2001,4/1/2001 12:00:00 AM,SHRI VIKAS BHARDWAJ,1,,,,,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2018",lal dayal public school management commeti," Lal dayal public school Affiliation Code:2131103 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Lal dayal public school dayal puram Khatauli M.Nagar Phone Num: STD Code:1396 PhNo: 271100 , Fax:09758141450 City: Email:principal@ldpskhatauli.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Jai Vatika Public School,1630527,PUNJAB,SANGRUR,BarnalaBarnala City,"Jai Vatika Public School, Thikriwala chowk, Sanghera bye-pass road",148101,"092171-22623
                        ,","092171-22623
                        ,",,,,jaivatika@rediffmail.com,,2003,4/1/2007 12:00:00 AM,RABINDER SINGH,0,,,,,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Jai Vatika Welfare Society,
gyan sthaly public school,2131572,uttar pradesh,JHANSI,jhansinawabad,"shivaji nagar kanpur road Jhansi, Uttar Pradesh",284001,"05102320229
                        ,","05102320229
                        ,",,,05102320229,gyansthaly1997@rediffmail.com,,1997,4/23/1997 12:00:00 AM,Mrs.madhu srivastava,2,"m.a. b.ed, honoured ph.d",,9,9,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2018",SEVASHRAM,
CBSE-2015,CBSE-2014,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage Public School,2131339,uttar pradesh,MUZAFFARNAGAR,MUZAFFARNAGARCHHAPAR,"HERITAGE PUBLIC SCHOOL, BASERA ,MUZAFFARNAGAR,UP, 251310",251310,"0131-3200081
                        ,","0131-3200081
                        ,",,,0131-2661667,heritagecbse@gmail.com,,2008,4/6/2009 12:00:00 AM,Mr.VIKAS KUMAR,0,"MA,M.COM,BEd",,5,7,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",DEV EDUCATIONAL SOCIETY,
"D.A.V.PUBLIC SCHOOL, ROBERTSGANJ",2131160,uttar pradesh,SONEBHADRA,ROBERTSGANJROBERTSGANJ,"D.A.V.PUBLIC SCHOOL, ROBERTSGANJ DIST. SONEBHADRA (U.P.)",234216,"05444-223967
                        ,","05444-223967
                        ,",,,05444-223967,davprincipal_robts@yahoo.com,,2001,4/2/2001 12:00:00 AM,RAJ KUMAR,0,"M.A., B.ED.",,8,13,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016","DAV COLLGE TRUST AND MANAGEMENT SOCIETY, NEW DELHI"," D.A.V.PUBLIC SCHOOL, ROBERTSGANJ Affiliation Code:2131160 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:D.A.V.PUBLIC SCHOOL, ROBERTSGANJ DIST. SONEBHADRA (U.P.) Phone Num: STD Code: PhNo: 05444-223967 , Fax: City: 234216 Email:davprincipal_robts@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
SKDI ENGLISH MEDIUM SCHOOL,930824,KERALA,MALAPPURAM,KuttipuramPerumpadappu,"SKDI ENGLISH MEDIUM SCHOOL,P.O.GRAMAM,Via VELIANKODE,MALAPURRAM Dist,KERALA STATE",679579,"0494 2675393
                        ,","0494 2675393
                        ,",,,,skdischool@yahoo.com,,1994,6/5/1994 12:00:00 AM,MANJU RAVEENDRAN,,M.A.BEd,,7,5,Middle Class,Provisional,1/4/2011,31/3/2014,SKDI Yatheemkhana Vallapuzha committee," SKDI ENGLISH MEDIUM SCHOOL Affiliation Code:930824 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:SKDI ENGLISH MEDIUM SCHOOL,P.O.GRAMAM,Via VELIANKODE,MALAPURRAM Dist,KERALA STATE Phone Num: STD Code: PhNo: 0494 2675393 , Fax: City: 679579 Email:skdischool@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Chelakkara Central School,930928,KERALA,THRISSUR,WadakkancheryChelakkara,"Thonoorkara,Thrissur - 680610.",680610,"04884-251493
                        ,","04884-251493
                        ,",05512507030,05512507030,04884-253956,ccschool@Yahoo.com.in,http://www.geocities.com/ccschoolb,1995,6/1/1995 12:00:00 AM,Vilasini Amma,2,B Sc B Ed,,2,27,Secondary School,Provisional,1/4/2015,31/3/2020,"Sidha Vidhya KendramTrust,"," Chelakkara Central School Affiliation Code:930928 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Chelakkara Central School,Thonoorkara,Thrissur - 680610. Phone Num: STD Code: PhNo: 04884-251493 , Fax: City: 680610 Email:ccschool@Yahoo.com.in, Website:http://www.geocities.com/ccschoolb Courses of study offered: This school follows the CBSE curriculum"
Anand Bhavan Central school,930809,KERALA,KOLLAM,PunaloorAnchal,"Alayamon, Anchal, Pathanapuram,  P.O,Kollam,Kerala",691319,"0475 326 5151
                        ,","0475 326 5151
                        ,",827879,827879,,anandbhavancentralschoolanchal@hotmail.com,,2004,6/1/2004 12:00:00 AM,sailaja Devi.S.Nair,0,"M.A(Eco),M.A(Eng),B.Ed",,23,23,Secondary School,Provisional,1/4/2014,31/3/2019,Gurukulam Educational & Charitable Trust," Anand Bhavan Central school Affiliation Code:930809 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Anand Bhavan Central School,Anchal P.O,Kollam,Kerala Phone Num: STD Code: PhNo: 0475 326 5151 , Fax: City: 691319 Email:anandbhavancentralschoolanchal@hotmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
UMARIYYA PUBLIC SCHOOL,930933,KERALA,THRISSUR,IrinjalakudaIrinjalakuda,"Vallivattom P.O., Thrissur dt., 680124",680124,"0480-2861692
                        ,","0480-2861692
                        ,",08028436936,08028436936,,principal.umariyya@gmail.com,,1998,6/1/2000 12:00:00 AM,MOHAMED SHIYAS. E. A,2,"MSW, B.Ed",,5,8,Secondary School,Provisional,1/4/2015,31/3/2020,Khaleefa Umar Charitable Society," UMARIYYA PUBLIC SCHOOL Affiliation Code:930933 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Umariyya Public School, Vallivattom P.O., Thrissur dt., 680124 Phone Num: STD Code: PhNo: 0480-2861692 , Fax: City: 680124 Email:principal.umariyya@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Pilani Public School,1730511,RAJASTHAN,JHUNJHUNU,ChirawaPilani,"Pilani Public School,Pilani-Chirawa-Jaipur Road",333031,"01596-242777
                        ,","01596-242777
                        ,",,,,aryan2944@rediffmail.com,http://www.ppspilani.com,2010,4/1/2011 12:00:00 AM,Mr.Hem Chandra Pande,0,"MA, MED,PGDHRM",,06,32,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",Shri Ram Shiksha Samiti," Pilani Public School Affiliation Code:1730511 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Pilani Public School,Pilani-Chirawa-Jaipur Road Phone Num: STD Code: PhNo: 01596-242777 , Fax: City: 333031 Email:aryan2944@rediffmail.com, Website:http://www.ppspilani.com Courses of study offered: This school follows the CBSE curriculum"
gurukul international school,1630746,PUNJAB,BHATINDA,RAMPURA PHOOLDIALPURA BHAIKA,near gurdwara baba ladha ji salabatpura road,151106,"09815975342
                        ,","09815975342
                        ,",02812693258,02812693258,,sachingarg042@yahoo.com,,2006,4/1/2006 12:00:00 AM,mr.pravinder kumar,1,b.sc.b.ed.,,2,8,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",gurukul akal academy,
"Sri Guru Harkrishan Public School, Sur Singh",1630697,PUNJAB,TARANTARAN,Tarn TaranBhikhiwind,Sri GUru Harkrishan Public School Sur Singh Amritsar Bhikhiwind Road Distt. Tarn Taran,143302,"01851-275275
                        ,","01851-275275
                        ,",,,0183-5052160,sghpssursingh@yahoo.com,http://www.chiefkhalsadiwan.com,1983,4/2/1983 12:00:00 AM,Mrs.Jasleen Kaur,0,M.A. (English) B.Ed.,,3,9,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",Chief Khalsa Diwan," Sri Guru Harkrishan Public School, Sur Singh Affiliation Code:1630697 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Sri GUru Harkrishan Public School Sur Singh Amritsar Bhikhiwind Road Distt. Tarn Taran Phone Num: STD Code: PhNo: 01851-275275 , Fax: City: 143302 Email:sghpssursingh@yahoo.com, Website:http://www.chiefkhalsadiwan.com Courses of study offered: This school follows the CBSE curriculum"
SANT PRANPAL SINGH CONVENT SCHOOL,1630475,PUNJAB,KAPURTHALA,BHOGPURBEGOWAL,"SANT PRANPAL SINGH CONVENT SCHOOL,BEGOWAL (BHOGPUR ROAD)",144621,"01822-299522
                        ,","01822-299522
                        ,",04662276869,04662276869,,sppsconventschool@yahoo.co.in,,2005,3/23/2005 12:00:00 AM,S.B.NAIR,1,"M.A,B.ED",,03,12,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2018",SANT PRANPAL SINGH EDUCATIONAL SOCIETY," SANT PRANPAL SINGH CONVENT SCHOOL Affiliation Code:1630475 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:SANT PRANPAL SINGH CONVENT SCHOOL,BEGOWAL (BHOGPUR ROAD) Phone Num: STD Code:0184 PhNo: 01822-299522 , Fax:04662276869 City: 144621 Email:sppsconventschool@yahoo.co.in, Website: Courses of study offered: This school follows the CBSE curriculum"
"KC gurukul Public School paloura, jammu",730056,JAMMU & KASHMIR,JAMMU,JammuNawabad,KC gurukul Public School HO 1B.C. Road jammu,180002,"0191-2540301, 9419199133
                        ,","0191-2540301, 9419199133
                        ,",-,-,,academicdirectorkcgpssvpuri@gmail.com,,2004,4/1/2004 12:00:00 AM,Basanti sapru,1,"MA, B.ed",,32,35,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",KC Gurukul," KC gurukul Public School paloura, jammu Affiliation Code:730056 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:KC gurukul Public School HO 1B.C. Road jammu Phone Num: STD Code:0161 PhNo: 0191-2540301, 9419199133 , Fax: City: 180002 Email:academicdirectorkcgpssvpuri@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
CLR PUBLIC SCHOOL,1730456,RAJASTHAN,JHUNJHUNU,chirawapilani,"CLR PUBLIC SCHOOL,DELHI ROAD,PILANI(RAJ)",333031,"01596246523,09414083140
                        ,","01596246523,09414083140
                        ,",,,,clrpublicschool@gmail.com,,2004,7/1/2004 12:00:00 AM,SHEVANI NEHRA,0,"M.SC. ,B.ED.",,05,05,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017","Chaudhary Laduram Education Society, Pilani"," CLR PUBLIC SCHOOL Affiliation Code:1730456 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:CLR PUBLIC SCHOOL,DELHI ROAD,PILANI(RAJ) Phone Num: STD Code: PhNo: 01596246523,09414083140 , Fax: City: 333031 Email:clrpublicschool@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
"Dashmesh public school, MG Road Ambikapur",3330145,CHATTISGARH,SURGUJA,AmbikapurGandhinagar,Dashmesh Public School Manendragarh Road Patparia Ambikapur Surguja Chattisgarh- 497001,497001,"07774322479
                        ,","07774322479
                        ,",,,,dashmeshbed@gmail.com,,2002,4/1/2002 12:00:00 AM,Mr.Lakhbir Singh,0,M.A. B.Ed,,10,18,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016","Dashmesh Educational and Cultural Society,Ambikapur"," Dashmesh public school, MG Road Ambikapur Affiliation Code:3330145 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Dashmesh Public School Manendragarh Road Patparia Ambikapur Surguja Chattisgarh- 497001 Phone Num: STD Code: PhNo: 07774322479 , Fax: City: 497001 Email:dashmeshbed@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
P.E.S. PUBLIC SCHOOL,830355,KARNATAKA,SHIMOGA,ShimogaShivmoga Gramanthara Police Station,"P.E.S. Public School, N.H. 206, Sagar Road, Shimoga - 577204.",577204,"08182640778
                        ,","08182640778
                        ,",,,08182233794,principalpesps@pesschivamoga.org,http://www.pestrust.org,2010,6/3/2009 12:00:00 AM,Indira Hariharan,0,"M.A.,M.Ed",,10,15,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Prerana Educational and Social Trust (R)," P.E.S. PUBLIC SCHOOL Affiliation Code:830355 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:P.E.S. Public School, N.H. 206, Sagar Road, Shimoga - 577204. Phone Num: STD Code: PhNo: 08182640778 , Fax: City: 577204 Email:principalpesps@pesschivamoga.org, Website:http://www.pestrust.org Courses of study offered: This school follows the CBSE curriculum"
"cfdav public school, gadepan, kota",1730489,RAJASTHAN,KOTA,"Kota JunctionSimliya, Tehsil Digod","gadepan, p.o. gadepan district- kota",325007,"07455-274466
                        ,","07455-274466
                        ,",,,07455-274130,cfdavgadepan@yahoo.com,,1994,4/1/1995 12:00:00 AM,m.p. singh,0,"m.a., b.ed.",,02,12,Secondary School,Provisional,1/4/2014,31/3/2019,dav college trust and management society," CFDAV PUBLIC SCHOOL, GADEPAN, KOTA Affiliation Code:1730489 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:CHAMBAL FERTILISERS DAV PUBLIC SCHOOL, GADEPAN, P.O. GADEPAN DISTRICT- KOTA Phone Num: STD Code: PhNo: 07455-274466 , Fax: City: 325007 Email:cfdavgadepan@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
SANSKAR PUBLIC SCHOOL,330427,BIHAR,SHEIKHPURA,SHEIKHPURASHEIKHPURA,"DEV NAGAR, TINMUHANI(HANUMAN) MORE, SHEIKHPURA",811105,"06341224895
                        ,","06341224895
                        ,",,,,sanskar.p.s@gmail.com,,2006,4/1/2006 12:00:00 AM,Mr.NAWAL KISHORE PRASAD SINGH,0,M.A. B.ED.,,10,15,Secondary School,Provisional,1/4/2015,31/3/2020,SHEIKHPURA EDUCATIONAL TRUST," SANSKAR PUBLIC SCHOOL Affiliation Code:330427 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:SANSKAR PUBLIC SCHOOL, DEV NAGAR, TINMUHANI(HANUMAN) MORE, SHEIKHPURA Phone Num: STD Code: PhNo: 06341224895 , Fax: City: 811105 Email:sanskar.p.s@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
GOVT BOYS  SEC SCHOOL,2758033,DELHI,,-,MATIA MAHAL SCHOOL PIWALAN COMPLEX JAMA MASJID (U.M.II) DELHI,110006,",",",",,,,,,1965,,HASHIMUDDIN,1,,,,,Secondary School,Provisional,1/4/2008,31/3/2013,DELHI ADMINISTRATION," GOVT BOYS SEC SCHOOL Affiliation Code:2758033 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:MATIA MAHAL SCHOOL PIWALAN COMPLEX JAMA MASJID (U.M.II) DELHI Phone Num: STD Code: PhNo:  Fax: Email:, Website: Courses of study offered: This school follows the CBSE curriculum"
Shriram School,2131211,uttar pradesh,MEERUT,-,"Mawana, Shriram School Society, Mawana Sugar Works Compound, Distt Meerut (U.P.)",250402,"275312
                        ,","275312
                        ,",,,,rupatete@mawanasugars.com,,,,ABHA SINGHAL,2,"M.A., M.Ed., Ph.D.",,14,35,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",," Shriram School Affiliation Code:2131211 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Mawana, Shriram School Society, Mawana Sugar Works Compound, Distt Meerut (U.P.) Phone Num: STD Code:01233 PhNo: 275312 , Fax: City: 250402 Email:rupatete@mawanasugars.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Vivekanand senior secondary school,531068,HARYANA,REWARI,RewariDharuhera,"shiv nagar, DHARUHERA",123401,"9416575880
                        ,","9416575880
                        ,",,,,vivekanandschool10@gmail.com,,2001,4/1/2001 12:00:00 AM,Mrs.sagtara,0,MA.Bed/Mfil,,3,5,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016","Vivekanand bal kalyan sikhsha samiti, Dharuhera",
St. John Vianney School,1030452,MADHYA PRADESH,GWALIOR,-,Purani chawani Gwalior,474010,"2491795
                        ,","2491795
                        ,",2569300,2569300,,frpio@rediffmail.com,,2000,,FR. PIUS K.,2,"M.Sc.,B.Ed,Ph.D",,1,15,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2020",ALPHA FOUNDATION FOR EDU RESEARCH,
PATLIPUTRA CENTRAL SCHOOL,330406,BIHAR,KHAGARIA,KAGARIAPARBATTA,"PARBATTA, Kagaria",851216,"9431411464
                        ,","9431411464
                        ,",kocp 51,kocp 51,,ambrishrbhardwaj@gmail.com,,2005,4/10/2006 12:00:00 AM,Mrs.JULI SINGH,1,"M.A, B.Ed",,10,7,Secondary School,Provisional,1/4/2015,31/3/2017,SRI ANIRUDH MANORAMA EDUCATIONAL & RESEARCH TRUST," PATLIPUTRA CENTRAL SCHOOL Affiliation Code:330406 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:PATLIPUTRA CENTRAL SCHOOL,PARBATTA,Kagaria Phone Num: STD Code: PhNo: 9431411464 , Fax: City: 851216 Email:ambrishrbhardwaj@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
SERVITE CONVENT HR.SEC.SCHOOL,1030409,MADHYA PRADESH,HOSHANGABAD,HoshangabadHoshangabad,"SERVITE CONVENT SCHOOL, ITI ROAD., HOSHANGABAD",461001,"07574257685
                        ,","07574257685
                        ,",,,,avimal77_osm@yahoo.com,,1986,7/1/1986 12:00:00 AM,PAULINE MALAR,,"M.COM.,B.Ed.,",,10,13,Senior Secondary,Provisional,1/4/2009,"31/
                    3/
                    2012","Servite Sisters Society, Bhopal"," SERVITE CONVENT HR.SEC.SCHOOL Affiliation Code:1030409 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:SERVITE CONVENT SCHOOL, ITI ROAD., HOSHANGABAD Phone Num: STD Code: PhNo: 07574257685 , Fax: City: 461001 Email:avimal77_osm@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
"AXEL PUBLIC SCHOOL, LOKHRA,GUWAHATI, ASSAM",230102,ASSAM,KAMRUP,guwahatiBasistha,"AXEL PUBLIC SCHOOL,PO-LOKHRA, VILL- LOKHRA, PS-BASISTHA",781034,"0361-2228951,09864264412
                        ,","0361-2228951,09864264412
                        ,",260110,260110,,prasanta_chou@yahoo.co.in,http://www.axelpublicschool.com,2002,1/2/2002 12:00:00 AM,MONTI GOGOI CHOUDHURY,2,"MA, BED.",,7,10,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",AXEL PUBLIC SOCIETY," AXEL PUBLIC SCHOOL, LOKHRA,GUWAHATI, ASSAM Affiliation Code:230102 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:AXEL PUBLIC SCHOOL,PO-LOKHRA, VILL- LOKHRA, PS-BASISTHA Phone Num: STD Code: PhNo: 0361-2228951,09864264412 , Fax: City: 781034 Email:prasanta_chou@yahoo.co.in, Website:http://www.axelpublicschool.com Courses of study offered: This school follows the CBSE curriculum"
Tagore International School,1630787,PUNJAB,PATIALA,PatialaJulkan,Village Akbarpur (Afgana) Patiala,147111,"0175-2642042
                        ,","0175-2642042
                        ,",,,0175-2642042,tagore.akbarpur@ymail.com,,2004,4/1/2005 12:00:00 AM,Mr.H.C. Gulati,1,"M.A.(Eng.), M.Ed.",,15,35,Secondary School,Provisional,1/4/2013,31/3/2016,Tagore Educational Charitable Society," Tagore International School Affiliation Code:1630787 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Tagore International School Village Akbarpur (Afgana) Patiala Phone Num: STD Code: PhNo: 0175-2642042 , Fax: City: 147111 Email:tagore.akbarpur@ymail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
